ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Coria G.,30,28,7,5,6,2,,,,,,,2,0,Completed,1.62,2.15,1.57,2.15,1.5,2.1,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Blake J.,Boutter J.,120,57,7,6,6,0,,,,,,,2,0,Completed,2.45,1.48,2.35,1.45,2.2,1.45,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Canas G.,Safin M.,33,3,6,3,6,3,,,,,,,2,0,Completed,2.4,1.5,2.25,1.5,2,1.55,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Chang M.,Voltchkov V.,70,77,6,1,6,3,,,,,,,2,0,Completed,1.55,2.25,1.55,2.2,1.5,2.1,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Clement A.,Calatrava A.,11,64,4,6,6,4,7,6,,,,,2,1,Completed,1.33,3,1.28,3,1.3,2.7,1.364,2.875
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Escude N.,Vicente F.,31,49,6,4,6,2,,,,,,,2,0,Completed,1.33,3,1.3,2.8,1.3,2.7,1.286,3.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Arthurs W.,4,51,6,4,6,4,,,,,,,2,0,Completed,1.33,3,1.25,3.2,1.25,3,1.364,2.875
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Hrbaty D.,22,20,6,3,6,1,,,,,,,2,0,Completed,1.33,3,1.3,2.9,1.35,2.5,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Agassi A.,56,2,6,4,7,6,,,,,,,2,0,Completed,5.5,1.1,4.6,1.1,3.8,1.15,6,1.111
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Haas T.,Woodruff C.,16,90,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Henman T.,Tabara M.,8,48,6,4,6,2,,,,,,,2,0,Completed,1.18,4.25,1.15,4,1.2,3.2,1.167,4.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Norman M.,5,23,6,4,6,1,,,,,,,2,0,Completed,1.48,2.45,1.5,2.2,1.45,2.2,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ivanisevic G.,Clavet F.,19,65,6,3,3,6,7,6,,,,,2,1,Completed,1.85,1.85,1.65,1.95,1.65,1.85,1.85,1.85
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Vinciguerra A.,6,43,7,6,6,1,,,,,,,2,0,Completed,1.4,2.7,1.35,2.7,1.35,2.5,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Enqvist T.,26,13,6,4,6,0,,,,,,,2,0,Completed,1.85,1.85,1.8,1.8,1.75,1.75,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Koubek S.,Levy H.,85,66,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kuerten G.,Roddick A.,1,27,7,6,6,1,,,,,,,2,0,Completed,1.6,2.2,1.66,1.95,1.65,1.85,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Dent T.,63,114,6,4,6,4,,,,,,,2,0,Completed,3,1.33,2.8,1.33,2.7,1.3,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Squillari F.,67,40,6,2,6,0,,,,,,,2,0,Completed,1.65,2.1,1.66,1.9,1.55,2,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Bjorkman J.,44,46,6,3,6,3,,,,,,,2,0,Completed,1.5,2.45,1.5,2.25,1.4,2.3,1.571,2.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Martin A.,Russell M.,38,86,4,6,6,3,6,2,,,,,2,1,Completed,1.45,2.5,1.55,2.1,1.55,2,1.571,2.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Martin T.,Mamiit C.,29,112,2,6,6,3,6,3,,,,,2,1,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Costa A.,47,41,6,3,6,4,,,,,,,2,0,Completed,2,1.7,1.85,1.75,1.85,1.65,1.833,1.833
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Moya C.,Mantilla F.,18,73,6,3,6,3,,,,,,,2,0,Completed,1.33,3,1.4,2.5,1.4,2.3,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Novak J.,Morrison J.,42,225,6,4,3,6,6,2,,,,,2,1,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Johansson T.,21,15,6,3,6,2,,,,,,,2,0,Completed,1.8,1.9,1.8,1.8,1.75,1.75,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Rafter P.,Portas A.,7,24,7,5,6,3,,,,,,,2,0,Completed,1.18,4.25,1.15,4.1,1.15,3.8,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Prinosil D.,36,52,3,6,7,6,6,1,,,,,2,1,Completed,1.33,3,1.3,2.9,1.35,2.5,1.333,3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Sampras P.,Lapentti N.,12,25,6,3,6,2,,,,,,,2,0,Completed,1.33,3,1.25,3.2,1.3,2.7,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Golmard J.,17,50,6,3,7,6,,,,,,,2,0,Completed,1.85,1.85,1.7,1.9,1.8,1.7,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Schalken S.,Ferreira W.,32,35,6,4,6,4,,,,,,,2,0,Completed,2.2,1.6,2,1.6,1.9,1.6,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ulihrach B.,Black W.,37,135,6,3,6,2,,,,,,,2,0,Completed,1.45,2.55,1.35,2.7,1.4,2.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Arazi H.,Ferrero J.C.,30,4,6,7,6,4,6,4,,,,,2,1,Completed,3.15,1.3,3.1,1.27,2.7,1.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Blake J.,Clement A.,120,11,7,5,6,4,,,,,,,2,0,Completed,3.5,1.25,3.2,1.25,3,1.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Canas G.,Chang M.,33,70,5,7,7,5,6,2,,,,,2,1,Completed,1.75,1.95,1.6,2.05,1.55,2
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Gambill J.M.,Novak J.,22,42,7,6,6,2,,,,,,,2,0,Completed,1.42,2.65,1.4,2.55,1.4,2.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Lee H.T.,8,63,6,3,6,3,,,,,,,2,0,Completed,1.22,3.75,1.2,3.55,1.2,3.2
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Ulihrach B.,5,37,6,2,5,7,6,2,,,,,2,1,Completed,1.28,3.25,1.27,3.1,1.25,3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Ivanisevic G.,Escude N.,19,31,6,3,6,4,,,,,,,2,0,Completed,2.2,1.58,2.1,1.55,2.1,1.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Kafelnikov Y.,Santoro F.,6,17,6,1,6,4,,,,,,,2,0,Completed,1.42,2.6,1.4,2.5,1.35,2.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Kiefer N.,Martin T.,26,29,6,1,4,6,6,2,,,,,2,1,Completed,1.65,2.1,1.7,1.87,1.65,1.85
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Koubek S.,Schalken S.,85,32,6,1,7,6,,,,,,,2,0,Completed,2.05,1.68,2.12,1.57,1.9,1.6
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Kuerten G.,Haas T.,1,16,7,6,7,6,,,,,,,2,0,Completed,1.45,2.55,1.37,2.7,1.45,2.2
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Ljubicic I.,Moya C.,67,18,7,6,7,5,,,,,,,2,0,Completed,2.45,1.48,2.45,1.43,1.9,1.6
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Martin A.,Sampras P.,38,12,6,4,6,4,,,,,,,2,0,Completed,3.75,1.22,4.5,1.11,4.5,1.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Mirnyi M.,Pavel A.,47,21,6,1,6,1,,,,,,,2,0,Completed,2.55,1.45,2.45,1.4,2.3,1.4
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Rafter P.,Malisse X.,7,44,6,0,6,3,,,,,,,2,0,Completed,1.4,2.7,1.3,2.9,1.35,2.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,2nd Round,3,Rusedski G.,Gaudio G.,36,56,7,6,7,6,,,,,,,2,0,Completed,1.48,2.45,1.4,2.45,1.4,2.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Gambill J.M.,Canas G.,22,33,6,3,6,4,,,,,,,2,0,Completed,1.45,2.55,1.45,2.35,1.4,2.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Henman T.,Kiefer N.,8,26,7,5,6,3,,,,,,,2,0,Completed,1.65,2.1,1.65,1.97,1.6,1.9
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Hewitt L.,Mirnyi M.,5,47,1,6,6,4,7,6,,,,,2,1,Completed,1.35,2.95,1.31,2.9,1.25,3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Kafelnikov Y.,Martin A.,6,38,6,2,2,6,6,4,,,,,2,1,Completed,1.33,3,1.35,2.7,1.35,2.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Kuerten G.,Ivanisevic G.,1,19,6,2,6,1,,,,,,,2,0,Completed,1.43,2.6,1.35,2.5,1.4,2.3
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Ljubicic I.,Arazi H.,67,30,6,2,6,3,,,,,,,2,0,Completed,1.8,1.9,1.85,1.75,1.8,1.7
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Rafter P.,Blake J.,7,120,7,6,6,2,,,,,,,2,0,Completed,1.14,4.75,1.15,4.1,1.15,3.8
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,3rd Round,3,Rusedski G.,Koubek S.,36,85,6,3,6,3,,,,,,,2,0,Completed,,,1.36,2.65,1.35,2.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Quarterfinals,3,Henman T.,Gambill J.M.,8,22,4,6,6,2,6,2,,,,,2,1,Completed,1.75,1.95,1.85,1.75,1.8,1.7
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Ljubicic I.,5,67,7,6,6,7,6,4,,,,,2,1,Completed,1.35,2.9,1.35,2.7,1.35,2.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Quarterfinals,3,Kuerten G.,Kafelnikov Y.,1,6,6,4,3,6,6,4,,,,,2,1,Completed,1.47,2.5,1.4,2.3,1.5,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Quarterfinals,3,Rafter P.,Rusedski G.,7,36,5,7,7,6,6,4,,,,,2,1,Completed,1.42,2.65,1.4,2.5,1.45,2.2
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Semifinals,3,Kuerten G.,Henman T.,1,8,6,2,1,6,7,6,,,,,2,1,Completed,1.6,2.2,1.55,2.15,1.6,1.9
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,Semifinals,3,Rafter P.,Hewitt L.,7,5,6,4,6,3,,,,,,,2,0,Completed,1.7,2,1.7,1.9,1.7,1.8
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,The Final,3,Kuerten G.,Rafter P.,1,7,6,1,6,3,,,,,,,2,0,Completed,,,,,,
